doc_idx,title,cluster
52,Activity theory as framework for analysis of workplace learning technologies: the case of generative AI conversational agents,2
53,Adaptive Treatment of Metastatic Prostate Cancer Using Generative Artificial Intelligence,7
54,Adoption of generative artificial intelligence in management education using unlearning mechanism,7
55,AI as an emerging trend for managing employee efficiency in the retail and services industries,7
56,AI in action: Changes to student perceptions when using generative artificial intelligence for the creation of a multimedia project-based assessment,4
57,AI-driven digital humans for E-contact: A pre-registered study on reducing intergroup bias with generative artificial intelligence,7
58,AI-Enhanced Curriculum Design and Deep-Learning-Based Assessment in International Sports Communication Education,3
59,An assessment of generative artificial intelligence in responding to clinical queries on tapering antidepressants,1
60,An Innovative Approach in Arts Education: Student Experiences of Abstract Art Practices Supported by Generative Artificial Intelligence,7
61,Analysis of the application of generative artificial intelligence in interior design education,7
62,Application of generative artificial intelligence chatbots in the field of anesthesia,7
63,Application of generative artificial intelligence in catalysis,7
64,Application of generative artificial intelligence in the aquacultural sector,7
65,Application of generative artificial intelligence to utilize unstructured clinical data for acceleration of inflammatory bowel disease research,5
66,Applications and perspectives of Generative Artificial Intelligence in agriculture,7
67,Applications of generative artificial intelligence in battery research: Current status and prospects,7
68,Applications of generative artificial intelligence in inflammatory bowel disease: A systematic review,7
69,"Applications, Challenges, and Prospects of Generative Artificial Intelligence Empowering Medical Education: Scoping Review",1
70,Applying generative artificial intelligence applications for academic research on firms’ nonlinear internationalization,2
71,Artificial intelligence in higher education: Research notes from a longitudinal study,7
72,Asking generative artificial intelligence the right questions improves writing performance,7
73,Assessing generative artificial intelligence for mental health,7
74,Assessing political bias and value misalignment in generative artificial intelligence,7
75,Assessing Second Language Listening in the 21st Century,7
76,Assessing students’ intention to adopt generative artificial intelligence,7
77,Assessing the standard-essentiality of 5G technology patents by means of generative artificial intelligence,7
78,Automate the ‘boring bits’: An assessment of AI-assisted systematic review (AIASR),7
79,"Avoiding algorithm errors in textual analysis: A guide to selecting software, and a research agenda toward generative artificial intelligence",7
80,Barriers to breakthroughs: A scoping review of generative AI in healthcare simulation,1
81,Book Review: Generative Artificial Intelligence and Language Teaching,7
82,Brave new procurement deals: An experimental study of how generative artificial intelligence reshapes buyer–supplier negotiations,7
83,Can generative artificial intelligence drive sustainable behavior? A consumer-adoption model for AI-driven sustainability recommendations,7
84,Can Generative Artificial Intelligence Improve Adolescent Health?,7
85,Can generative artificial intelligence productivity tools support workplace learning? A qualitative study on employee perceptions in a multinational corporation,2
86,Chapter 13 - Exploring the convergence of Internet of things and big data technologies in the age of generative artificial intelligence,7
87,Chapter 13 - Generative artificial intelligence in genetics: A comprehensive review,7
88,Chapter 16 - Acceptance and commitment training in applied behavior analysis: Competency-based training with generative artificial intelligence,7
89,Chapter 3 - Industry 5.0 era of digital supply chain: A generative artificial intelligence (GenAI) action model for workforce engagement,7
90,ChatGPT as a tool in nursing exam design: Opportunities and limitations,1
91,Collaboration with GenAI in engineering research design,7
92,College Student Opinions on Generative Artificial Intelligence for Educational Experiences,7
93,"Commercial Products Using Generative Artificial Intelligence Include Ambient Scribes, Automated Documentation and Scheduling, Revenue Cycle Management, Patient Engagement and Education, and Prior Authorization Platforms",7
94,Company perspectives of generative artificial intelligence in industrial work,7
95,Comparative Analysis of Generative Artificial Intelligence Systems in Solving Clinical Pharmacy Problems: Mixed Methods Study,1
96,Comparative Reflections on Human-Driven and Generative Artificial Intelligence-Assisted Thematic Analysis: A Collaborative Autoethnography,7
97,Comparing Generative Artificial Intelligence and Mental Health Professionals for Clinical Decision-Making With Trauma-Exposed Populations: Vignette-Based Experimental Study,1
98,Comparison of the performances of different updated generative artificial intelligence models on the Japanese National Dental Examination,7
99,Complex diseases meet deep phenotyping and generative AI,7
100,"Comprehensive Review of Generative artificial Intelligence: Mechanisms, Models, and Applications",7
101,Computing education using generative artificial intelligence tools: A systematic literature review,7
102,Correlates of Trust of Generative Artificial Intelligence Tools Among Patients and Caregivers: A Review of Empirical Research,7
103,Customized language models for tourism management: Implications and future research,7
104,Debunking myths about Enhanced Recovery After Surgery (ERAS) using Generative Artificial Intelligence,7
105,Designing a Multimodal and Culturally Relevant Alzheimer Disease and Related Dementia Generative Artificial Intelligence Tool for Black American Informal Caregivers: Cognitive Walk-Through Usability Study,1
106,Detecting multi-modal GAI-manipulated tourism review,7
107,Detecting the knowledge structure of generative artificial intelligence research,7
108,Development and implementation of a generative artificial intelligence-enhanced simulation to enhance problem-solving skills for pre-service teachers,7
109,Development of a prompt template to support simulation design: Maximizing the potential of generative artificial intelligence,1
110,Editing companies have the responsibility of ensuring their declared use of generative artificial intelligence,7
111,Editorial: Generative Artificial Intelligence for Predictive Simulations and Decision-Making in Science and Engineering,7
112,Effect of generative artificial intelligence on academic publishing ethics: The role of user agreements,7
113,Effect of Generative Artificial Intelligence on University Students Learning Outcomes: A Systematic Review and Meta-Analysis,7
114,Effectiveness of integrating generative artificial intelligence with virtual reality for maternity communication simulation: A randomized controlled trial,1
115,Effects of generative artificial intelligence on higher-order thinking skills and artificial intelligence literacy in nursing undergraduates: A quasi-experimental study,8
116,EFL students’ perceptions about the role of generative artificial intelligence (GAI)-mediated instruction in their emotional engagement and goal orientation: A motivational climate theory (MCT) perspective in focus,7
117,EFL teachers’ generative artificial intelligence (GenAI) literacy: A scale development and validation study,7
118,Elevating entrepreneurship with generative artificial intelligence,7
119,"Embracing Generative Artificial Intelligence in Clinical Research and Beyond: Opportunities, Challenges, and Solutions",7
120,Empowering creativity and engagement: The impact of generative artificial intelligence usage on Chines EFL students' language learning experience,7
121,Engagement or entanglement? The dual impact of generative artificial intelligence in online knowledge exchange platforms,7
122,Enhanced healthcare using generative AI for disabled people in Saudi Arabia,7
123,Enhancing critical language awareness in EAL writing education amid the rise of generative artificial intelligence,7
124,Enhancing people’s walking preferences in street design through generative artificial intelligence and crowdsourcing surveys: The case of Tokyo,7
125,Enhancing simulation facilitator debriefing using a generative artificial intelligence feedback interface and retrieval-augmented generation: A pilot study,1
126,Enhancing the emotional aspects of language education through generative artificial intelligence (GenAI): A qualitative investigation,7
127,Entrepreneurial education and higher education students’ e-entrepreneurial intention: a moderated mediation model of generative AI incorporation and e-entrepreneurial self-efficacy,2
128,Environmental Assessment and Improvement of Factory Building Designs based on Generative Artificial Intelligence,7
129,Ethical Application of Generative Artificial Intelligence in Medicine,7
130,Evaluating a generative artificial intelligence accuracy in providing medication instructions from smartphone images,1
131,Evaluating generative artificial intelligence products using fuzzy social network multi-attribute decision-making model: User perspective,7
132,Evaluating Generative Artificial Intelligence Query of Pelvic Congestion Syndrome Management,7
133,"Evaluating Knowledge Gaps in Cardio-Obstetrics: A Comparative Analysis of Cardiologists, Obstetricians, and Generative Artificial Intelligence",7
134,Evaluation of Generative Artificial Intelligence Implementation Impacts in Social and Health Care Language Translation: Mixed Methods Case Study,1
135,"Exploring community pharmacist's psychological intentions to adopt generative artificial intelligence (GenAI) chatbots for patient information, education, and counseling",7
136,Exploring generative artificial intelligence in teacher education,7
137,Exploring Generative Artificial Intelligence to Enhance Reflective Writing in Pharmacy Education,7
138,Exploring international students' perceptions of adopting generative artificial intelligence (GenAI) technologies in learning,7
139,"Exploring the potential of generative artificial intelligence in medical image synthesis: opportunities, challenges, and future directions",5
140,"Exploring the role of cognitive flexibility, digital competencies, and self-regulation skills on students' generative artificial intelligence anxiety",7
141,Exploring the role of generative artificial intelligence (ChatGPT) adoption in digital social entrepreneurship: a serial mediation model,2
142,Exploring value co-creation and co-destruction between consumers & generative artificial intelligence (GAI) in travel,7
143,EXPRESS: Consumer Evaluations of Generative Artificial Intelligence Disclosures in Responses to Healthcare Reviews,7
144,Factors driving user behavior and value creation with text-to-image generative artificial intelligence (AI): A systems theory perspective,7
145,Free-breathing single-beat exercise cardiovascular magnetic resonance with generative artificial intelligence for evaluation of volumetric and functional cardiac indices: A reproducibility study,1
146,From emotion to reflection: leveraging EmotionPrompt strategy to empower self-determination in decision-making with generative artificial intelligence,7
147,From familiarity to acceptance: The impact of Generative Artificial Intelligence on consumer adoption of retail chatbots,7
148,From interface to inference: mapping the impact of generative artificial intelligence affordances on user risk perception,7
149,From technology to pedagogy: determinants of university faculty’s pedagogically relevant use of generative AI,2
150,From Text to Data: Automatically Extracting Data From Catheterization Reports Using Generative Artificial Intelligence,7
151,GenAI and psychiatry: Between multimodal promise and ethical perils,7
152,GenAI and the psychology of work,7
153,GenAI as a translation assistant? A corpus-based study on lexical and syntactic complexity of GPT-post-edited learner translation,7
154,Gender bias in text-to-image generative artificial intelligence depiction of Australian paramedics and first responders,4
155,Generative AI and sustainable policy implementation: Expanding UTAUT2 to examine sustainable policy alignment and ambiguity impact on street-level bureaucrats’ discretion,7
156,Generative AI and the future of innovation management: A human centered perspective and an agenda for future research,7
157,Generative AI framework for sensory and consumer research,7
158,"Generative AI in dissertation writing: L2 doctoral students’ self-reported use, AI-giarism, and perceived training needs",7
159,Generative AI in healthcare education: How AI literacy gaps could compromise learning and patient safety,7
160,Generative AI in Supply Chain Resource Orchestration: A Conceptual Perspective,7
161,"Generative AI of things for sustainable smart cities: Synergizing cognitive augmentation, resource efficiency, network traffic, cybersecurity, and anomaly detection for environmental performance",7
162,Generative artificial intelligence (AI) in built environment design and planning – A state-of-the-art review,7
163,Generative Artificial Intelligence (AI) in education: from organizing visions to official guidelines,2
164,Generative artificial intelligence (AI) literacy in nursing education: A crucial call to action,4
165,Generative Artificial Intelligence (GAI) in Breast Cancer Diagnosis and Treatment: A Systematic Review,7
166,Generative Artificial Intelligence (GenAI) in the research process – A survey of researchers’ practices and perceptions,7
167,Generative artificial intelligence (GenAI) revolution: A deep dive into GenAI adoption,7
168,Generative Artificial Intelligence Accuracy in Interpreting Forest Plots in Pediatric Surgery Meta-analyses: A Perspective From Pediatric Surgery Meta-analysis Study Group (PESMA),7
169,Generative artificial intelligence addiction syndrome: A new behavioral disorder?,7
170,Generative artificial intelligence and academic writing: friend or foe?,7
171,Generative artificial intelligence and internationalization green innovation: Roles of supply chain innovations and AI regulation for SMEs,7
172,Generative artificial intelligence and learning: At the dawn of Idiocracy?,7
173,Generative Artificial Intelligence and Musculoskeletal Health Care,7
174,Generative artificial intelligence and scientific publishing: Turning noise into trust,7
175,Generative artificial intelligence and sustainability - The challenges,7
176,Generative artificial intelligence and the challenges to adding value ethically,7
177,Generative artificial intelligence and university libraries in Latin America,7
178,Generative artificial intelligence augmenting SME financial management,7
179,"Generative Artificial Intelligence Biases, Limitations and Risks in Nuclear Medicine: An Argument for Appropriate Use Framework and Recommendations",7
180,Generative artificial intelligence chatbots in investment decision-making: a phantom menace or a new hope?,2
181,"Generative artificial intelligence dependency: Scale development, validation, and its motivational, behavioral, and psychological correlates",7
182,Generative artificial intelligence embedded thermodynamic modeling of gas turbines for adaptive performance matching,7
183,Generative artificial intelligence expectations and experiences in management education: ChatGPT use and student satisfaction,7
184,"Generative artificial intelligence for construction: Use cases, trends, challenges, and opportunities",7
185,Generative artificial intelligence for enzyme design: Recent advances in models and applications,7
186,Generative artificial intelligence for fire scenario analysis in complex building design layouts,7
187,"Generative Artificial Intelligence for Health Technology Assessment: Opportunities, Challenges, and Policy Considerations: An ISPOR Working Group Report",6
188,Generative artificial intelligence for integrated sensing and communication in 6G,7
189,"Generative artificial intelligence for management education: applications, benefits, challenges and future research directions",2
190,Generative artificial intelligence in a VUCA world: the ‘Lived Experiences’ of Southeast Asian teachers’ use of AI in higher education,7
191,Generative Artificial Intelligence in Academic Surgery: Ethical Implications and Transformative Potential,7
192,Generative artificial intelligence in advertising. Field applications in Rio de Janeiro and Catalonia,7
193,Generative Artificial Intelligence in Clinical Medicine and Impact on Gastroenterology,7
194,"Generative artificial intelligence in construction: A Delphi approach, framework, and case study",7
195,Generative artificial intelligence in dentistry: A narrative review of current approaches and future challenges,7
196,Generative Artificial Intelligence in Dermatology: A Primer,7
197,Generative artificial intelligence in diabetes healthcare,5
198,Generative artificial intelligence in healthcare simulation-based education: A scoping review,8
199,Generative artificial intelligence in higher education: Evidence from an analysis of institutional policies and guidelines,7
200,"Generative artificial intelligence in human resource management: a critical reflection on impacts, resilience and roles",2
201,Generative Artificial Intelligence in Instructional System Design,7
202,Generative Artificial Intelligence in Medical Education—Policies and Training at US Osteopathic Medical Schools: Descriptive Cross-Sectional Survey,1
203,Generative Artificial Intelligence in Nutrition: A Revolution in Accessibility and Personalization,7
204,Generative artificial intelligence in ophthalmology,7
205,Generative Artificial Intelligence in Pathology and Medicine: A Deeper Dive,7
206,Generative Artificial Intelligence in Primary Care: Qualitative Study of UK General Practitioners’ Views,1
207,Generative artificial intelligence in public health research and scientific communication: A narrative review of real applications and future directions,7
208,Generative Artificial Intelligence in Qualitative Data Analysis: Analyzing—Or Just Chatting?,7
209,Generative artificial intelligence in scientific publishing: Expectations for authors at Preventive Medicine and Preventive Medicine Reports,7
210,Generative artificial intelligence in soil science,7
211,Generative artificial intelligence in special education: A systematic review through the lens of the mediated-action model,7
212,Generative artificial intelligence in the activities of academic libraries of public universities in Poland,7
213,Generative artificial intelligence in tourism management: An integrative review and roadmap for future research,7
214,Generative Artificial Intelligence Models for Developing Neuroimaging Markers of Psychiatric Disorders,7
215,Generative artificial intelligence perspectives on typical landscape types: Can ChatGPT compete with human insight?,7
216,Generative Artificial Intelligence Supported Programming Learning: Learning Effectiveness and Core Competence,7
217,Generative Artificial Intelligence to Automate the Adaptation of Excel Health Economic Models and Word Technical Reports,6
218,"Generative artificial intelligence tools in journal article preparation: A preliminary catalog of ethical considerations, opportunities, and pitfalls*",7
219,Generative Artificial Intelligence Tools in Medical Research (GAMER): Protocol for a Scoping Review and Development of Reporting Guidelines,1
220,"Generative artificial intelligence, integrative bioinformatics, and single-cell analysis reveal Alzheimer’s genetic and immune landscape",7
221,"Generative artificial intelligence, large language models and ChatGPT in musculoskeletal Oncology: Current applications and future potential",7
222,Generative artificial intelligence-based framework for bridging lifecycle gaps in semiconductor HVAC systems,7
223,Generative artificial intelligence-based modified abstractive cross attention enabled sequence to sequence model for abstractive Hindi text summarization,7
224,Generative artificial intelligence-mediated counselling on first aid for seizures: The performance of publicly available chatbot versus its customised version,1
225,Generative artificial intelligence: A hot topic to face with,7
226,Generative artificial intelligence: Pioneering a new paradigm for research and education in smart energy systems,7
227,Generative Artificial Intelligence’s Integration for Data Analysis in Conducting Academic Research: Understanding the Perspective of Research Supervisors,7
228,Generative assistant for digital twin simulations,7
229,Generative latent diffusion language modeling yields anti-infective synthetic peptides,5
230,Geographic prompting and content fidelity in generative Artificial Intelligence: A multi-model study of demographics and imaging equipment in AI-generated videos and images of Canadian medical radiation technologists,1
231,Good deeds deserve good outcomes: Leveraging generative artificial intelligence to reduce tourists' avoidance of ethical brands embracing stigmatized groups,7
232,Government adoption of generative artificial intelligence and ambidextrous innovation,7
233,Graduate Students’ Use and Perceptions of Generative Artificial Intelligence (GenAI) in Higher Education,7
234,Graph-to-SFILES: Control structure prediction from process topologies using generative artificial intelligence,7
235,Guidelines for learning design and assessment for generative artificial intelligence-integrated education: a unified view,2
236,"High heels, compass, spider-man, or drug? Metaphor analysis of generative artificial intelligence in academic writing",7
237,"How do people experience the images created by generative artificial intelligence? An exploration of people's perceptions, appraisals, and emotions related to a Gen-AI text-to-image model and its creations",7
238,How do people react to political bias in generative artificial intelligence (AI)?,7
239,How generative Artificial Intelligence can transform drug discovery?,7
240,HTA74 Transforming Global Value Dossier (GVD) Drafting: Creation with a Generative Artificial Intelligence (Gen AI)-Driven Coauthoring Accelerator,7
241,ID: 4349993 QUALITATIVE EVALUATION FRAMEWORK FOR COMPARING THE EFFECTIVENESS OF LARGE LANGUAGE MODELS THAT POWER HEALTH CARE CONVERSATIONS USING GENERATIVE ARTIFICIAL INTELLIGENCE IN ATRIAL FIBRILLATION,7
242,Identifying highly correlated determinants influencing student nurses' behavioral intention of using generative artificial intelligence (Generative AI): A network analysis,7
243,"Illusion, dilution, or loss: psychological ownership and GenAI",7
244,"Impact of generative artificial intelligence on workload, efficiency and labour productivity",7
245,Impacts of generative artificial intelligence on the future of labor market: A systematic review,1
246,In silico design of smaller size enzymatic protein by generative artificial intelligence (ProtGPT2),7
247,Integrating generative artificial intelligence in a writing intensive course for undergraduate nursing students,7
248,Integrating generative artificial intelligence into green logistics: A systematic review and policy-oriented research agenda,7
249,Integrating Generative Artificial Intelligence into Interdisciplinary Research: Cognitive Requirements and Implications for Design,7
250,"Integrating Generative Artificial Intelligence into Social Science Research: Measurement, Prompting, and Simulation",7
251,Integrating Generative Artificial Intelligence techniques into technology function matrix analysis,7
252,Intelligent multi-channel classification of microseismic events upon TBM excavation,7
253,Ionic Cell Microscopy: A new modality for visualizing cells using microfluidic impedance cytometry and generative artificial intelligence,7
254,Is generative artificial intelligence capable of clinical reasoning?,7
255,Lack of methodological rigor and limited coverage of generative artificial intelligence in existing artificial intelligence reporting guidelines: a scoping review,6
256,"Language assessment in the era of generative artificial intelligence: Opportunities, challenges, and future directions",7
257,Large language models as partners in medical literature,7
258,Late gadolinium enhancement cardiovascular magnetic resonance with generative artificial intelligence,3
259,Letter Regarding: Generative Artificial Intelligence in Academic Surgery: Ethical Implications and Transformative Potential,7
260,Leveraging Artificial Intelligence for Digital Symptom Management in Oncology: The Development of CRCWeb,7
261,Leveraging Generative Artificial Intelligence to Address Data Management Challenges in Humanitarian Operations,7
262,Leveraging generative artificial intelligence to enhance ICU novice simulation instructors’ case design: A qualitative study,1
263,Leveraging Generative Artificial Intelligence to Improve Motivation and Retrieval in Higher Education Learners,7
264,Livestock behaviour forecasting via generative artificial intelligence,7
265,Making waves: Generative artificial intelligence in water distribution networks: Opportunities and challenges,7
266,Measuring technology acceptance over time using transfer models based on online customer reviews,7
267,Mechanisms of enhancing learning with unequal preparation: An experimental study on generative artificial intelligence use and proficiency in programming learning,7
268,MSR139 Application of Generative Artificial Intelligence for Extracting Structured Data from Unstructured Bladder Cancer Pathology Reports,7
269,MSR33 Automated Extraction of Kaplan-Meier Survival Curves Using Generative Artificial Intelligence and Computer Vision,7
270,MT14 Role of Generative Artificial Intelligence in Assisting Systematic Review Process in Health Research: A Systematic Review,7
271,New generative artificial intelligence model: ScholarGPT’s performance on dental avulsion,1
272,Nurse Researchers’ Experiences and Perceptions of Generative AI: Qualitative Semistructured Interview Study,1
273,Nursing judgment in the age of generative artificial intelligence: A cross-national study on clinical decision-making performance among emergency nurses,1
274,OC.02.7 CONVERSATIONAL LARGE LANGUAGE MODEL GENERATIVE ARTIFICIAL INTELLIGENCE CHATBOT CHATGPT-4 FOR COLONOSCOPY BOSTON BOWEL PREPARATION SCORING: AN AI-TO-HEAD HUMAN-BLINDED CONCORDANCE ANALYSIS ON A LARGE VOLUME OF ENDOSCOPIC FRAMES,7
275,On the effective co-creation of CAD models by leveraging generative artificial intelligence,7
276,Online reviews generated by generative artificial intelligence versus human: A study of perceived differences and user adoption behavior,7
277,Ophthalmology Journals’ Guidelines on Generative Artificial Intelligence: A Comprehensive Analysis,2
278,OS03-09 Surveying the Landscape: A Modular Generative Artificial Intelligence Workflow to Identify NAMs for Systemic Toxicity,7
279,People are not becoming “AIholic”: Questioning the “ChatGPT addiction” construct,7
280,Perceptions and experiences of generative artificial intelligence training to support research for Chinese nurses: A qualitative focus group study,6
281,Performance of 3 Conversational Generative Artificial Intelligence Models for Computing Maximum Safe Doses of Local Anesthetics: Comparative Analysis,1
282,Pharmacy meets AI: Effect of a drug information activity on student perceptions of generative artificial intelligence,8
283,"Physician, replace thyself: Can generative artificial intelligence locate and evaluate ovarian cancer genetic information?",7
284,POS0311 SARCOIDOSIS AS A SYSTEMIC DISEASE: IDENTIFYING PATTERNS OF MULTIORGAN-SPECIFIC INVOLVEMENT AND EPIDEMIOLOGICAL PROFILING THROUGH GENERATIVE ARTIFICIAL INTELLIGENCE-DRIVEN CLUSTERING,1
285,"Prompt engineering for generative artificial intelligence chatbots in health research: A practical guide for traditional, complementary, and integrative medicine researchers",7
286,Quantification of cultural practices and diversity: An empirical experiment with generative artificial intelligence,7
287,"Readability, quality and accuracy of generative artificial intelligence chatbots for commonly asked questions about labor epidurals: a comparison of ChatGPT and Bard",4
288,Real-World Evidence Synthesis of Digital Scribes Using Ambient Listening and Generative Artificial Intelligence for Clinician Documentation Workflows: Rapid Review,1
289,Reinforcement learning-based generative artificial intelligence for novel pesticide design,4
290,"Reliable answers to patients’ questions: A fundamental need in any patient education tool, especially generative artificial intelligence",7
291,Research misconduct: Use of generative artificial intelligence in writing may lower the threshold,7
292,Research on the impact of generative artificial intelligence (GenAI) on enterprise innovation performance: a knowledge management perspective,2
293,Response Regarding: Generative Artificial Intelligence in Academic Surgery: Ethical Implications and Transformative Potential,7
294,Role of Generative Artificial Intelligence in Assisting Systematic Review Process in Health Research: A Systematic Review,6
295,Safety and User Experience of a Generative Artificial Intelligence Digital Mental Health Intervention: Exploratory Randomized Controlled Trial,1
296,Scientific Mapping of GenAI in English as a Foreign Language (EFL) Context:,3
297,Self-driving labs: The new frontier for GenAI-driven marketing research,7
298,Semantic-Driven Internet of Behaviours for Enhancing Supply Chain ESG Capabilities Through Generative AI,3
299,SpectroGen: A physically informed generative artificial intelligence for accelerated cross-modality spectroscopic materials characterization,5
300,Statistics of Generative Artificial Intelligence and Nongenerative Predictive Analytics Machine Learning in Medicine,7
301,Strategies to incorporate generative artificial intelligence in simulation-based education among undergraduate students of healthcare professions: A scoping review,1
302,Strengthening Human Epistemic Agency in the Symbiotic Learning Partnership With Generative Artificial Intelligence,7
303,Students’ attitudes toward generative artificial intelligence in academic contexts: A multi-factor analysis,7
304,"Support for generative artificial intelligence as a predictor of middle leaders’ generative artificial intelligence self-efficacy, valuing, and integration in school leadership work",7
305,Supporting Brainstorming with a Collaborative Platform or a Generative Artificial Intelligence Tool: An Exploratory Study,7
306,Synthetic duality: A framework for analyzing generative artificial intelligence's representation of social reality,7
307,T.06.3 APPLICATIONS OF GENERATIVE ARTIFICIAL INTELLIGENCE IN INFLAMMATORY BOWEL DISEASE: A SYSTEMATIC REVIEW,7
308,Taking the next step with generative artificial intelligence: The transformative role of multimodal large language models in science education,7
309,Teaching mathematical concepts in management with generative artificial intelligence: The power of human oversight in AI-driven learning,7
310,Testing ChatGPT's Ability to Provide Patient and Physician Information on Aortic Aneurysm,4
311,Testing the Implementation and Acceptance of Generative Artificial Intelligence to Augment Vascular Surgery Journal Club,7
